iter	Passed	Remaining
867	1215	184
868	1216	183
869	1217	181
870	1217	180
871	1220	179
872	1229	178
873	1235	178
874	1243	177
875	1244	176
876	1249	175
877	1257	174
878	1257	173
879	1258	171
880	1259	170
881	1266	169
882	1271	168
883	1272	166
884	1273	165
885	1276	164
886	1284	163
887	1285	162
888	1285	160
889	1286	159
890	1287	157
891	1287	155
892	1288	154
893	1289	152
894	1290	151
895	1297	150
896	1301	149
897	1302	147
898	1303	146
899	1304	144
900	1305	143
901	1305	141
902	1306	140
903	1306	138
904	1307	137
905	1308	135
906	1308	134
907	1309	132
908	1310	131
909	1310	129
910	1316	128
911	1323	127
912	1326	126
913	1335	125
914	1336	124
915	1337	122
916	1338	121
917	1339	119
918	1339	118
919	1340	116
920	1341	115
921	1341	113
922	1342	112
923	1343	110
924	1347	109
925	1355	108
926	1356	106
927	1357	105
928	1358	103
929	1365	102
930	1370	101
931	1371	100
932	1372	98
933	1373	97
934	1379	95
935	1386	94
936	1390	93
937	1398	92
938	1399	90
939	1400	89
940	1407	88
941	1413	87
942	1413	85
943	1414	83
944	1415	82
945	1416	80
946	1417	79
947	1417	77
948	1418	76
949	1419	74
950	1419	73
951	1420	71
952	1421	70
953	1421	68
954	1422	67
955	1422	65
956	1423	63
957	1424	62
958	1426	61
959	1434	59
960	1436	58
961	1437	56
962	1438	55
963	1439	53
964	1440	52
965	1441	50
966	1442	49
967	1442	47
968	1443	46
969	1444	44
970	1445	43
971	1450	41
972	1457	40
973	1458	38
974	1459	37
975	1460	35
976	1460	34
977	1461	32
978	1462	31
979	1462	29
980	1463	28
981	1464	26
982	1471	25
983	1476	24
984	1477	22
985	1478	20
986	1479	19
987	1481	17
988	1482	16
989	1483	14
990	1484	13
991	1484	11
992	1485	10
993	1486	8
994	1487	7
995	1487	5
996	1488	4
997	1489	2
998	1489	1
999	1490	0
